,open,high,low,close,volume
2017-10-16 07:00:00,1.2e-05,1.2e-05,7.5e-06,7.7e-06,23929864.0
2017-10-17 07:00:00,7.71e-06,8.38e-06,6.75e-06,6.78e-06,32841320.0
2017-10-18 07:00:00,6.79e-06,7.34e-06,6.59e-06,7.11e-06,35811818.0
2017-10-19 07:00:00,7.14e-06,9.87e-06,6.99e-06,9.24e-06,34504209.0
2017-10-20 07:00:00,9.21e-06,1.238e-05,8.6e-06,1.176e-05,45662634.0
2017-10-21 07:00:00,1.18e-05,1.395e-05,8.41e-06,9.75e-06,43804782.0
2017-10-22 07:00:00,9.84e-06,1.212e-05,9.72e-06,1.122e-05,39324283.0
2017-10-23 07:00:00,1.122e-05,1.177e-05,1e-05,1.099e-05,39560769.0
2017-10-24 07:00:00,1.1e-05,1.432e-05,1.045e-05,1.254e-05,44894077.0
2017-10-25 07:00:00,1.25e-05,1.253e-05,1e-05,1.015e-05,45004377.0
2017-10-26 07:00:00,1.015e-05,1.083e-05,8.64e-06,9.16e-06,38413615.0
2017-10-27 07:00:00,9.17e-06,9.35e-06,8.21e-06,8.93e-06,35977039.0
2017-10-28 07:00:00,8.95e-06,8.95e-06,7.35e-06,7.51e-06,39865112.0
2017-10-29 07:00:00,7.53e-06,8.04e-06,6.89e-06,7.09e-06,40245938.0
2017-10-30 07:00:00,7.17e-06,8.38e-06,7e-06,7.71e-06,40904098.0
2017-10-31 07:00:00,7.75e-06,8.11e-06,6.37e-06,6.5e-06,35454486.0
2017-11-01 07:00:00,6.51e-06,6.66e-06,5.28e-06,5.39e-06,35894990.0
2017-11-02 07:00:00,5.39e-06,5.97e-06,4.58e-06,5.1e-06,32251719.0
2017-11-03 07:00:00,5.18e-06,5.48e-06,4.75e-06,5.33e-06,31927370.0
2017-11-04 07:00:00,5.34e-06,5.5e-06,4.84e-06,5.22e-06,34905393.0
2017-11-05 07:00:00,5.17e-06,5.24e-06,4.82e-06,5.03e-06,35518253.0
2017-11-06 07:00:00,5.02e-06,6e-06,4.91e-06,5.86e-06,41903007.0
2017-11-07 07:00:00,5.83e-06,5.93e-06,5.3e-06,5.45e-06,41494498.0
2017-11-08 07:00:00,5.44e-06,6.78e-06,5.23e-06,6.35e-06,43651018.0
2017-11-09 07:00:00,6.35e-06,8.17e-06,6.16e-06,6.9e-06,34632868.0
2017-11-10 07:00:00,6.9e-06,6.93e-06,6.08e-06,6.28e-06,39912709.0
2017-11-11 07:00:00,6.27e-06,6.56e-06,6.02e-06,6.36e-06,33331408.0
2017-11-12 07:00:00,6.36e-06,6.4e-06,5.57e-06,5.9e-06,30208762.0
2017-11-13 07:00:00,5.95e-06,6.47e-06,5.73e-06,5.83e-06,32426510.0
2017-11-14 07:00:00,5.86e-06,6e-06,5.62e-06,5.84e-06,40408805.0
2017-11-15 07:00:00,5.85e-06,6.1e-06,5.18e-06,5.42e-06,39659590.0
2017-11-16 07:00:00,5.48e-06,5.55e-06,4.86e-06,4.91e-06,41514009.0
2017-11-17 07:00:00,4.92e-06,4.95e-06,4.47e-06,4.54e-06,33527619.0
2017-11-18 07:00:00,4.54e-06,5.14e-06,4.4e-06,4.84e-06,39178104.0
2017-11-19 07:00:00,4.85e-06,5.96e-06,4.66e-06,5.09e-06,44578714.0
2017-11-20 07:00:00,5.11e-06,6.66e-06,5.1e-06,5.31e-06,61012565.0
2017-11-21 07:00:00,5.3e-06,5.56e-06,4.76e-06,5.06e-06,44162912.0
2017-11-22 07:00:00,5.12e-06,5.15e-06,4.79e-06,5.03e-06,38576176.0
2017-11-23 07:00:00,5.02e-06,5.24e-06,4.93e-06,5.06e-06,43360640.0
2017-11-24 07:00:00,5.05e-06,5.12e-06,4.58e-06,4.88e-06,39688708.0
2017-11-25 07:00:00,4.88e-06,5.08e-06,4.7e-06,4.77e-06,37558772.0
2017-11-26 07:00:00,4.78e-06,5.08e-06,4.51e-06,4.62e-06,37999931.0
2017-11-27 07:00:00,4.63e-06,4.91e-06,4.4e-06,4.76e-06,36304722.0
2017-11-28 07:00:00,4.77e-06,4.92e-06,4.65e-06,4.73e-06,37016842.0
2017-11-29 07:00:00,4.74e-06,4.78e-06,3.86e-06,3.95e-06,30319032.0
2017-11-30 07:00:00,3.99e-06,4.62e-06,3.96e-06,4.21e-06,28841412.0
2017-12-01 07:00:00,4.23e-06,4.3e-06,3.87e-06,3.99e-06,23144477.0
2017-12-02 07:00:00,4e-06,4.18e-06,3.83e-06,4.1e-06,28611926.0
2017-12-03 07:00:00,4.08e-06,4.29e-06,3.76e-06,3.95e-06,27120236.0
2017-12-04 07:00:00,3.95e-06,4.57e-06,3.75e-06,4.5e-06,32921707.0
2017-12-05 07:00:00,4.49e-06,5.17e-06,4.31e-06,4.84e-06,50035459.0
2017-12-06 07:00:00,4.81e-06,4.83e-06,3.69e-06,3.73e-06,41232675.0
2017-12-07 07:00:00,3.72e-06,3.94e-06,2.86e-06,2.92e-06,53521921.0
2017-12-08 07:00:00,2.93e-06,3.23e-06,2.38e-06,2.74e-06,48767715.0
2017-12-09 07:00:00,2.76e-06,3.39e-06,2.64e-06,2.91e-06,55018437.0
2017-12-10 07:00:00,2.9e-06,3.72e-06,2.68e-06,2.74e-06,58540564.0
2017-12-11 07:00:00,2.73e-06,3.15e-06,2.5e-06,2.83e-06,52749467.0
